School,Gender,Age,Housing_Type,Family_Size,Parental_Status,Mother_Education,Father_Education,Mother_Work,Father_Work,Reason_School_Choice,Legal_Responsibility,Commute_Time,Weekly_Study_Time,Extra_Educational_Support,Parental_Educational_Support,Private_Tutoring,Extracurricular_Activities,Attended_Daycare,Desire_Graduate_Education,Has_Internet,Is_Dating,Good_Family_Relationship,Free_Time_After_School,Time_with_Friends,Health_Status,School_Absence,Grade_1st_Semester,Grade_2nd_Semester,Alcoholic
Gabriel Pereira,Female,19,Rural,Above 3,Living Together,High School,Lower Secondary School,Services,Services,Reputation,Father,Up to 15 min,2 to 5h,Yes,Yes,No,No,Yes,No,Yes,No,Fair,Moderate,Moderate,Fair,0,9,8,1
Gabriel Pereira,Male,16,Urban,Up to 3,Living Together,Higher Education,Lower Secondary School,Teacher,other,Course Preference,Mother,Up to 15 min,2 to 5h,No,No,No,Yes,Yes,Yes,Yes,No,Good,Very High,Very Low,Very Good,0,12,13,0
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,Primary School,Primary School,Services,Services,Course Preference,Father,More than 1h,Up to 2h,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Excellent,Very High,Very High,Very Good,0,10,10,1
Gabriel Pereira,Male,15,Urban,Above 3,Living Together,Higher Education,Higher Education,other,Teacher,Reputation,Father,15 to 30 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,No,No,Good,High,Moderate,Poor,4,16,15,0
Mousinho da Silveira,Male,18,Urban,Up to 3,Living Together,Higher Education,Higher Education,Services,other,Reputation,Mother,Up to 15 min,Up to 2h,No,Yes,No,Yes,Yes,Yes,Yes,No,Excellent,High,Very High,Very Good,3,17,17,0
Gabriel Pereira,Female,17,Rural,Up to 3,Living Together,Higher Education,Higher Education,Services,other,Other,Mother,Up to 15 min,Up to 2h,No,Yes,No,No,Yes,Yes,No,No,Excellent,Low,Very Low,Fair,6,12,11,0
Gabriel Pereira,Male,16,Urban,Up to 3,Separated,Higher Education,Higher Education,Teacher,Health,Reputation,Mother,Up to 15 min,2 to 5h,No,Yes,No,No,Yes,Yes,No,No,Good,Very Low,Moderate,Very Good,6,9,9,1
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,Lower Secondary School,Lower Secondary School,other,other,Near Home,Mother,Up to 15 min,2 to 5h,No,Yes,No,No,No,Yes,Yes,No,Excellent,Very Low,Very High,Good,0,12,12,0
Gabriel Pereira,Female,18,Urban,Above 3,Living Together,Lower Secondary School,Primary School,other,other,Course Preference,Other,15 to 30 min,5 to 10h,No,Yes,No,No,No,Yes,Yes,Yes,Good,High,High,Fair,10,12,10,0
Gabriel Pereira,Male,18,Urban,Above 3,Living Together,Lower Secondary School,Primary School,Services,Services,Other,Mother,Up to 15 min,Up to 2h,No,No,No,No,No,No,Yes,No,Fair,Low,Very High,Very Good,4,7,8,1
Gabriel Pereira,Male,17,Urban,Above 3,Living Together,High School,Lower Secondary School,Services,Services,Course Preference,Mother,Up to 15 min,Up to 2h,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Excellent,Very High,Very High,Very Good,2,8,8,1
Gabriel Pereira,Male,17,Urban,Above 3,Living Together,Lower Secondary School,Lower Secondary School,other,other,Near Home,Father,15 to 30 min,Up to 2h,No,No,No,No,Yes,No,Yes,No,Good,High,High,Good,8,8,8,0
Gabriel Pereira,Male,18,Urban,Up to 3,Living Together,Lower Secondary School,Lower Secondary School,other,other,Course Preference,Mother,Up to 15 min,More than 10h,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Good,Very High,Very High,Very Good,0,11,11,1
Gabriel Pereira,Female,16,Rural,Above 3,Living Together,Primary School,Primary School,other,Services,Reputation,Mother,15 to 30 min,Up to 2h,No,Yes,No,Yes,Yes,Yes,No,Yes,Fair,Moderate,Moderate,Very Poor,8,12,11,0
Gabriel Pereira,Female,19,Urban,Above 3,Living Together,Primary School,Primary School,other,other,Course Preference,Other,30 min to 1h,5 to 10h,No,No,No,Yes,Yes,No,No,Yes,Very Poor,Very High,Very High,Very Good,12,10,10,1
Gabriel Pereira,Female,17,Urban,Above 3,Living Together,Lower Secondary School,Lower Secondary School,other,other,Course Preference,Mother,Up to 15 min,2 to 5h,No,Yes,No,No,No,Yes,Yes,No,Excellent,High,Very High,Very Good,12,12,12,0
Mousinho da Silveira,Female,17,Rural,Above 3,Living Together,None,None,Homemaker,other,Course Preference,Mother,15 to 30 min,Up to 2h,No,Yes,No,No,Yes,Yes,Yes,No,Good,High,Moderate,Very Good,0,10,11,0
Mousinho da Silveira,Female,17,Rural,Above 3,Living Together,High School,Lower Secondary School,Homemaker,other,Course Preference,Father,Up to 15 min,2 to 5h,No,No,No,No,Yes,Yes,No,Yes,Good,Very High,High,Very Good,0,10,10,0
Gabriel Pereira,Female,17,Urban,Above 3,Living Together,Lower Secondary School,Primary School,Services,other,Reputation,Mother,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,No,Good,Moderate,Very High,Good,4,12,16,1
Gabriel Pereira,Female,16,Urban,Up to 3,Separated,High School,High School,other,Services,Near Home,Mother,Up to 15 min,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,No,Poor,Moderate,Very High,Fair,6,13,12,1
Gabriel Pereira,Female,17,Rural,Above 3,Living Together,Lower Secondary School,Primary School,Homemaker,Services,Course Preference,Mother,30 min to 1h,2 to 5h,No,No,No,Yes,Yes,Yes,No,No,Poor,Very Low,Very Low,Fair,2,13,13,0
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,High School,High School,Services,other,Near Home,Mother,Up to 15 min,2 to 5h,No,No,No,Yes,Yes,Yes,Yes,Yes,Good,Low,Moderate,Fair,0,11,12,0
Mousinho da Silveira,Male,18,Rural,Up to 3,Living Together,High School,Lower Secondary School,Services,other,Course Preference,Mother,30 min to 1h,Up to 2h,No,No,No,No,No,Yes,Yes,No,Good,High,Very Low,Very Good,4,10,11,1
Mousinho da Silveira,Female,16,Urban,Up to 3,Living Together,Higher Education,Primary School,other,other,Near Home,Mother,15 to 30 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,No,Very Poor,Low,High,Very Poor,8,9,10,0
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,High School,High School,Services,other,Near Home,Father,Up to 15 min,5 to 10h,No,Yes,No,Yes,Yes,Yes,Yes,No,Excellent,Moderate,Moderate,Very Good,4,13,14,0
Mousinho da Silveira,Female,19,Urban,Up to 3,Separated,Primary School,Primary School,Homemaker,other,Course Preference,Mother,Up to 15 min,Up to 2h,No,Yes,No,No,Yes,No,No,No,Very Poor,High,High,Very Good,0,6,8,0
Mousinho da Silveira,Female,16,Urban,Above 3,Living Together,Primary School,Primary School,Homemaker,other,Course Preference,Father,Up to 15 min,2 to 5h,No,Yes,No,No,No,Yes,No,Yes,Excellent,High,Moderate,Poor,0,13,14,0
Gabriel Pereira,Female,17,Rural,Up to 3,Living Together,High School,Primary School,Services,other,Reputation,Mother,15 to 30 min,More than 10h,No,Yes,No,No,Yes,Yes,No,No,Fair,Very Low,Low,Fair,0,18,19,0
Mousinho da Silveira,Male,16,Urban,Up to 3,Living Together,Lower Secondary School,Primary School,Homemaker,Services,Course Preference,Mother,15 to 30 min,Up to 2h,No,Yes,No,Yes,Yes,Yes,Yes,No,Poor,High,Moderate,Good,4,10,8,0
Mousinho da Silveira,Female,19,Rural,Above 3,Living Together,Primary School,Primary School,Homemaker,other,Course Preference,Other,15 to 30 min,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,Yes,Good,Moderate,Moderate,Fair,4,7,8,0
Mousinho da Silveira,Male,19,Rural,Above 3,Living Together,Primary School,Primary School,other,Services,Near Home,Other,30 min to 1h,2 to 5h,No,No,No,No,Yes,Yes,Yes,No,Excellent,High,High,Poor,8,10,9,0
Mousinho da Silveira,Male,15,Urban,Above 3,Living Together,High School,High School,Services,Services,Course Preference,Father,15 to 30 min,Up to 2h,No,Yes,No,Yes,No,Yes,Yes,No,Good,Moderate,Moderate,Fair,11,12,10,1
Mousinho da Silveira,Female,16,Rural,Above 3,Living Together,Lower Secondary School,Lower Secondary School,other,other,Course Preference,Father,30 min to 1h,2 to 5h,No,Yes,No,No,Yes,No,Yes,No,Fair,High,Very High,Very Poor,1,9,10,0
Gabriel Pereira,Female,18,Urban,Above 3,Living Together,High School,Lower Secondary School,Homemaker,other,Reputation,Father,Up to 15 min,5 to 10h,No,Yes,No,No,Yes,Yes,Yes,Yes,Good,Moderate,High,Poor,5,14,17,0
Gabriel Pereira,Male,15,Urban,Above 3,Living Together,Higher Education,High School,Teacher,Services,Course Preference,Father,15 to 30 min,More than 10h,Yes,Yes,No,No,Yes,Yes,Yes,No,Poor,Low,Low,Fair,6,9,11,0
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,Lower Secondary School,Lower Secondary School,other,other,Near Home,Mother,Up to 15 min,2 to 5h,No,No,No,No,Yes,Yes,Yes,Yes,Excellent,High,High,Very Good,0,12,11,0
Mousinho da Silveira,Female,16,Urban,Above 3,Living Together,High School,Primary School,other,other,Course Preference,Mother,Up to 15 min,Up to 2h,No,No,No,Yes,Yes,Yes,Yes,No,Fair,Very Low,Moderate,Very Poor,0,8,6,0
Mousinho da Silveira,Male,17,Rural,Above 3,Living Together,Lower Secondary School,Lower Secondary School,other,other,Course Preference,Mother,15 to 30 min,Up to 2h,No,No,No,Yes,Yes,No,No,Yes,Excellent,Very High,Very High,Very Good,0,8,13,1
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,Primary School,None,other,other,Reputation,Mother,15 to 30 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Good,Moderate,Low,Fair,0,16,17,0
Mousinho da Silveira,Female,17,Rural,Above 3,Living Together,High School,Primary School,Homemaker,other,Reputation,Mother,Up to 15 min,2 to 5h,No,Yes,No,Yes,No,Yes,Yes,No,Good,Very High,High,Very Poor,10,8,9,0
Mousinho da Silveira,Female,17,Rural,Above 3,Living Together,Lower Secondary School,Lower Secondary School,Homemaker,other,Course Preference,Mother,15 to 30 min,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,No,Good,Moderate,Very High,Good,0,11,10,0
Mousinho da Silveira,Male,19,Rural,Above 3,Living Together,Primary School,Primary School,other,Services,Other,Mother,15 to 30 min,Up to 2h,No,No,No,No,Yes,Yes,No,No,Good,Moderate,Low,Very Good,0,5,8,0
Mousinho da Silveira,Female,18,Rural,Above 3,Living Together,Lower Secondary School,Lower Secondary School,Homemaker,other,Course Preference,Mother,30 min to 1h,2 to 5h,No,No,No,Yes,Yes,Yes,No,Yes,Good,Moderate,Moderate,Good,0,9,0,0
Gabriel Pereira,Male,18,Urban,Up to 3,Living Together,High School,Primary School,Services,Services,Course Preference,Mother,15 to 30 min,Up to 2h,No,No,No,Yes,Yes,Yes,Yes,Yes,Fair,Moderate,High,Good,2,11,11,1
Gabriel Pereira,Female,16,Rural,Above 3,Living Together,Primary School,Primary School,Homemaker,other,Course Preference,Mother,More than 1h,2 to 5h,No,Yes,No,No,Yes,Yes,No,No,Excellent,Very Low,Moderate,Fair,0,14,13,0
Mousinho da Silveira,Female,16,Rural,Above 3,Living Together,Higher Education,Higher Education,Health,Teacher,Reputation,Father,Up to 15 min,2 to 5h,No,No,No,Yes,No,Yes,Yes,Yes,Good,Moderate,Moderate,Poor,0,14,16,0
Gabriel Pereira,Male,16,Urban,Up to 3,Living Together,Higher Education,High School,Health,other,Near Home,Father,Up to 15 min,Up to 2h,No,No,No,Yes,Yes,Yes,Yes,No,Fair,Very Low,Moderate,Very Good,6,12,12,0
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,High School,High School,other,Services,Course Preference,Father,Up to 15 min,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,Yes,Good,Very High,Very High,Very Good,0,10,10,1
Mousinho da Silveira,Male,17,Urban,Up to 3,Living Together,Higher Education,Higher Education,other,Services,Near Home,Mother,Up to 15 min,5 to 10h,No,Yes,No,No,Yes,Yes,Yes,No,Good,High,Moderate,Very Good,0,15,14,0
Gabriel Pereira,Male,15,Urban,Up to 3,Living Together,Higher Education,Higher Education,Health,Services,Course Preference,Father,Up to 15 min,Up to 2h,No,Yes,No,Yes,Yes,Yes,Yes,No,Good,Moderate,Moderate,Very Good,0,12,13,0
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,Lower Secondary School,Lower Secondary School,Services,Services,Near Home,Mother,Up to 15 min,Up to 2h,No,Yes,No,No,No,Yes,Yes,No,Very Poor,Low,Low,Very Good,6,10,11,0
Mousinho da Silveira,Female,16,Rural,Above 3,Living Together,Lower Secondary School,High School,other,Services,Course Preference,Mother,30 min to 1h,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,No,Good,Very High,High,Very Poor,2,15,15,0
Gabriel Pereira,Male,17,Rural,Up to 3,Living Together,Primary School,Lower Secondary School,other,other,Reputation,Mother,Up to 15 min,Up to 2h,No,No,No,No,Yes,Yes,No,No,Poor,Low,Low,Very Good,14,9,8,0
Gabriel Pereira,Female,20,Rural,Above 3,Living Together,Primary School,Primary School,other,other,Reputation,Other,15 to 30 min,5 to 10h,No,No,No,No,Yes,Yes,Yes,Yes,Fair,Low,Low,Fair,8,11,15,0
Gabriel Pereira,Female,18,Urban,Above 3,Living Together,Lower Secondary School,Primary School,Services,other,Course Preference,Mother,15 to 30 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,No,Excellent,Moderate,Moderate,Very Poor,2,12,12,0
Gabriel Pereira,Male,17,Rural,Above 3,Living Together,Lower Secondary School,Lower Secondary School,other,other,Course Preference,Father,15 to 30 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,No,Good,Very High,Low,Very Poor,0,12,13,0
Mousinho da Silveira,Male,19,Urban,Above 3,Living Together,Primary School,Primary School,other,other,Other,Mother,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,No,Yes,No,Good,High,Moderate,Good,2,9,9,1
Gabriel Pereira,Male,17,Rural,Above 3,Living Together,Primary School,Primary School,other,other,Near Home,Father,15 to 30 min,5 to 10h,No,No,No,No,No,Yes,Yes,Yes,Good,Moderate,Moderate,Very Poor,2,13,14,0
Gabriel Pereira,Female,16,Urban,Up to 3,Living Together,Primary School,Primary School,Homemaker,Homemaker,Course Preference,Mother,Up to 15 min,Up to 2h,No,No,No,No,Yes,Yes,Yes,No,Fair,High,High,Very Poor,4,10,11,0
Gabriel Pereira,Female,15,Urban,Up to 3,Separated,High School,Higher Education,other,other,Near Home,Mother,Up to 15 min,2 to 5h,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Excellent,Moderate,Low,Very Poor,0,10,11,0
Gabriel Pereira,Male,18,Urban,Up to 3,Separated,High School,Higher Education,other,other,Reputation,Other,Up to 15 min,2 to 5h,No,No,No,Yes,Yes,Yes,Yes,Yes,Good,Moderate,Very High,Poor,9,13,14,1
Gabriel Pereira,Male,17,Urban,Up to 3,Living Together,Primary School,Primary School,Health,other,Course Preference,Mother,15 to 30 min,Up to 2h,No,Yes,No,Yes,Yes,Yes,Yes,No,Good,High,High,Very Good,0,9,10,0
Gabriel Pereira,Male,15,Urban,Up to 3,Living Together,Higher Education,Lower Secondary School,Teacher,other,Course Preference,Mother,Up to 15 min,Up to 2h,No,No,No,No,Yes,Yes,Yes,No,Fair,Very High,Low,Fair,10,18,17,0
Mousinho da Silveira,Female,15,Rural,Above 3,Living Together,Primary School,Lower Secondary School,other,Services,Course Preference,Mother,15 to 30 min,Up to 2h,No,No,No,No,Yes,Yes,No,No,Excellent,Very Low,Low,Very Poor,3,11,13,0
Gabriel Pereira,Male,16,Urban,Up to 3,Living Together,Primary School,Lower Secondary School,Health,Services,Course Preference,Mother,15 to 30 min,Up to 2h,No,No,No,No,No,Yes,Yes,No,Good,High,Very High,Very Good,0,9,8,1
Gabriel Pereira,Male,15,Urban,Above 3,Living Together,Higher Education,Higher Education,Teacher,Health,Reputation,Mother,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,No,No,Fair,Low,Low,Very Good,8,15,15,0
Gabriel Pereira,Female,18,Urban,Above 3,Living Together,Lower Secondary School,High School,Homemaker,other,Course Preference,Mother,Up to 15 min,5 to 10h,No,Yes,No,No,Yes,Yes,Yes,No,Good,Moderate,Moderate,Fair,0,11,12,0
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,Primary School,Primary School,Homemaker,other,Near Home,Mother,15 to 30 min,Up to 2h,No,Yes,No,No,Yes,Yes,No,No,Good,Moderate,Low,Very Good,2,12,13,1
Gabriel Pereira,Male,18,Rural,Up to 3,Living Together,High School,High School,other,Services,Course Preference,Mother,Up to 15 min,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,Yes,Good,Moderate,Moderate,Very Good,8,10,9,0
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,High School,High School,other,other,Reputation,Mother,30 min to 1h,2 to 5h,Yes,Yes,No,Yes,Yes,Yes,No,No,Excellent,Moderate,Low,Good,2,13,14,0
Gabriel Pereira,Female,17,Rural,Above 3,Living Together,Higher Education,Higher Education,Teacher,Teacher,Course Preference,Mother,Up to 15 min,Up to 2h,No,No,No,Yes,Yes,Yes,Yes,No,Good,High,High,Very Good,2,15,16,0
Gabriel Pereira,Female,18,Urban,Above 3,Living Together,High School,High School,other,other,Course Preference,Mother,15 to 30 min,Up to 2h,No,No,No,No,Yes,No,Yes,No,Good,Very Low,Very Low,Fair,14,8,7,0
Gabriel Pereira,Female,18,Urban,Above 3,Living Together,High School,Higher Education,other,other,Course Preference,Mother,Up to 15 min,Up to 2h,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Excellent,High,High,Very Poor,4,11,12,0
Mousinho da Silveira,Female,17,Rural,Above 3,Living Together,Primary School,Lower Secondary School,other,Services,Course Preference,Father,15 to 30 min,2 to 5h,No,No,No,No,No,Yes,No,No,Fair,Low,Low,Fair,0,13,13,0
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,Lower Secondary School,Lower Secondary School,Services,other,Reputation,Mother,15 to 30 min,2 to 5h,No,No,No,Yes,No,Yes,Yes,No,Fair,High,High,Very Good,0,13,12,1
Gabriel Pereira,Female,17,Urban,Above 3,Living Together,Higher Education,Higher Education,Teacher,Teacher,Course Preference,Mother,15 to 30 min,5 to 10h,No,Yes,No,No,No,Yes,Yes,Yes,Good,Moderate,Moderate,Good,4,15,14,0
Mousinho da Silveira,Male,18,Urban,Above 3,Living Together,High School,High School,Homemaker,Homemaker,Course Preference,Mother,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,No,Yes,No,Good,High,Very High,Fair,9,4,8,0
Gabriel Pereira,Male,17,Urban,Up to 3,Separated,High School,Lower Secondary School,Teacher,Services,Near Home,Mother,Up to 15 min,Up to 2h,No,No,No,No,Yes,Yes,Yes,No,Good,High,High,Fair,18,13,13,1
Gabriel Pereira,Male,15,Urban,Up to 3,Living Together,Lower Secondary School,Lower Secondary School,Services,Health,Reputation,Mother,Up to 15 min,More than 10h,No,Yes,No,Yes,Yes,Yes,Yes,No,Good,Moderate,High,Good,2,11,12,0
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,Lower Secondary School,Lower Secondary School,other,other,Course Preference,Father,Up to 15 min,2 to 5h,No,No,No,No,Yes,No,Yes,No,Good,Moderate,Very High,Good,0,9,10,1
Gabriel Pereira,Male,18,Urban,Above 3,Living Together,Higher Education,High School,Teacher,other,Course Preference,Mother,Up to 15 min,2 to 5h,No,Yes,No,No,No,Yes,Yes,No,Good,Moderate,Low,Fair,2,10,10,0
Mousinho da Silveira,Female,19,Urban,Above 3,Living Together,Lower Secondary School,High School,Homemaker,Services,Course Preference,Other,Up to 15 min,Up to 2h,No,No,No,No,Yes,No,Yes,Yes,Good,High,High,Poor,0,9,9,0
Mousinho da Silveira,Female,15,Rural,Up to 3,Living Together,Primary School,Primary School,other,Services,Course Preference,Mother,15 to 30 min,Up to 2h,No,Yes,No,No,Yes,Yes,Yes,Yes,Good,High,Moderate,Poor,4,6,7,0
Mousinho da Silveira,Female,18,Urban,Above 3,Separated,Primary School,Lower Secondary School,Homemaker,other,Course Preference,Mother,15 to 30 min,2 to 5h,No,Yes,No,No,Yes,Yes,No,No,Good,Moderate,Moderate,Very Good,2,6,8,0
Mousinho da Silveira,Female,19,Urban,Above 3,Living Together,Primary School,Primary School,Homemaker,Services,Course Preference,Mother,Up to 15 min,5 to 10h,No,No,No,Yes,Yes,No,No,Yes,Excellent,Moderate,Very Low,Fair,6,7,9,0
Gabriel Pereira,Male,16,Urban,Up to 3,Living Together,Higher Education,High School,Services,other,Reputation,Mother,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,No,Excellent,High,Low,Very Good,6,12,12,0
Gabriel Pereira,Female,15,Urban,Up to 3,Separated,Higher Education,High School,other,other,Course Preference,Mother,Up to 15 min,2 to 5h,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent,Low,Low,Very Good,4,10,11,0
Mousinho da Silveira,Female,16,Rural,Above 3,Living Together,Lower Secondary School,Lower Secondary School,other,other,Course Preference,Mother,15 to 30 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,No,Good,High,High,Very Good,0,12,12,0
Mousinho da Silveira,Female,18,Urban,Above 3,Living Together,Primary School,Lower Secondary School,other,other,Course Preference,Father,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Fair,High,High,Very Good,9,9,8,0
Mousinho da Silveira,Male,17,Urban,Above 3,Living Together,Primary School,Lower Secondary School,other,other,Course Preference,Father,Up to 15 min,Up to 2h,No,Yes,No,Yes,Yes,No,Yes,Yes,Excellent,Moderate,Very High,Very Poor,12,6,7,1
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,Higher Education,Higher Education,Services,Services,Reputation,Mother,Up to 15 min,5 to 10h,No,Yes,No,Yes,Yes,Yes,Yes,No,Fair,Low,Moderate,Poor,10,13,13,0
Gabriel Pereira,Male,15,Urban,Above 3,Living Together,Higher Education,Lower Secondary School,Teacher,other,Near Home,Mother,Up to 15 min,2 to 5h,No,Yes,No,No,Yes,Yes,No,No,Good,Moderate,Moderate,Very Good,4,11,12,0
Mousinho da Silveira,Male,18,Rural,Up to 3,Living Together,Primary School,Lower Secondary School,Homemaker,Services,Other,Father,30 min to 1h,Up to 2h,No,Yes,No,Yes,Yes,No,Yes,Yes,Good,Moderate,Moderate,Fair,3,9,10,0
Mousinho da Silveira,Female,17,Urban,Above 3,Living Together,High School,High School,Services,Services,Course Preference,Mother,15 to 30 min,Up to 2h,No,Yes,No,No,Yes,Yes,Yes,No,Good,High,Moderate,Good,0,11,12,0
Gabriel Pereira,Female,15,Urban,Above 3,Living Together,Higher Education,Lower Secondary School,Health,Services,Near Home,Mother,Up to 15 min,5 to 10h,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Fair,Low,Low,Very Good,0,14,14,0
Mousinho da Silveira,Female,17,Urban,Above 3,Living Together,Higher Education,Lower Secondary School,Teacher,Services,Near Home,Mother,Up to 15 min,2 to 5h,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Excellent,Very High,Very High,Very Good,0,8,8,0
Gabriel Pereira,Female,18,Urban,Up to 3,Living Together,Higher Education,Lower Secondary School,Teacher,other,Course Preference,Mother,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,No,Good,Low,Low,Fair,0,14,17,0
Gabriel Pereira,Female,17,Urban,Above 3,Living Together,Lower Secondary School,Higher Education,Homemaker,Health,Reputation,Mother,15 to 30 min,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,Yes,Good,Moderate,Moderate,Very Poor,6,15,16,0
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,High School,High School,Homemaker,other,Reputation,Other,30 min to 1h,2 to 5h,Yes,Yes,No,No,No,Yes,Yes,No,Excellent,Moderate,Moderate,Poor,4,9,11,0
Mousinho da Silveira,Female,15,Rural,Above 3,Living Together,Higher Education,Higher Education,Teacher,other,Course Preference,Mother,15 to 30 min,Up to 2h,No,No,No,No,Yes,Yes,Yes,Yes,Very Poor,Very High,Very Low,Very Good,0,13,14,1
Gabriel Pereira,Male,16,Rural,Above 3,Living Together,Lower Secondary School,Primary School,other,other,Course Preference,Mother,15 to 30 min,Up to 2h,No,No,No,Yes,No,Yes,No,No,Fair,Moderate,Low,Fair,2,14,13,0
Gabriel Pereira,Female,18,Urban,Above 3,Living Together,High School,High School,Homemaker,other,Course Preference,Father,Up to 15 min,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,No,Good,Very Low,High,Fair,8,11,12,0
Gabriel Pereira,Male,17,Urban,Up to 3,Living Together,Higher Education,Higher Education,Services,other,Near Home,Mother,Up to 15 min,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,Yes,Excellent,Moderate,Very High,Fair,15,13,12,1
Gabriel Pereira,Male,15,Urban,Above 3,Living Together,Lower Secondary School,Lower Secondary School,other,other,Near Home,Mother,Up to 15 min,Up to 2h,No,Yes,No,No,Yes,Yes,Yes,No,Good,Low,Low,Very Good,8,11,12,0
Mousinho da Silveira,Female,16,Rural,Up to 3,Living Together,Primary School,Primary School,Homemaker,other,Course Preference,Father,30 min to 1h,2 to 5h,No,Yes,No,No,Yes,Yes,No,No,Excellent,Moderate,Low,Very Poor,0,16,17,0
Gabriel Pereira,Male,18,Urban,Above 3,Living Together,Lower Secondary School,Lower Secondary School,other,Services,Reputation,Father,Up to 15 min,2 to 5h,No,No,No,No,Yes,No,Yes,No,Excellent,Very High,High,Poor,16,8,7,1
Gabriel Pereira,Female,16,Urban,Up to 3,Living Together,Lower Secondary School,Lower Secondary School,Services,Services,Course Preference,Mother,30 min to 1h,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,No,Good,Moderate,Moderate,Good,0,14,13,0
Gabriel Pereira,Female,17,Urban,Up to 3,Living Together,High School,Lower Secondary School,other,other,Reputation,Mother,15 to 30 min,2 to 5h,No,No,No,No,Yes,Yes,Yes,No,Good,High,High,Very Poor,2,14,16,0
Gabriel Pereira,Male,16,Rural,Above 3,Separated,Higher Education,Higher Education,other,Teacher,Reputation,Mother,15 to 30 min,5 to 10h,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Poor,High,Moderate,Very Good,4,13,13,0
Gabriel Pereira,Female,15,Urban,Up to 3,Separated,Lower Secondary School,Primary School,Homemaker,other,Near Home,Mother,15 to 30 min,Up to 2h,No,Yes,No,Yes,Yes,No,Yes,Yes,Good,High,Low,Very Good,0,11,10,0
Gabriel Pereira,Male,18,Urban,Above 3,Living Together,Lower Secondary School,Lower Secondary School,other,other,Near Home,Mother,15 to 30 min,2 to 5h,No,Yes,Yes,No,Yes,Yes,Yes,No,Fair,Moderate,Moderate,Good,9,10,9,1
Mousinho da Silveira,Male,18,Rural,Above 3,Living Together,Primary School,High School,Homemaker,other,Course Preference,Mother,15 to 30 min,2 to 5h,No,Yes,Yes,No,Yes,Yes,No,No,Fair,Moderate,High,Fair,0,8,10,1
Gabriel Pereira,Male,17,Rural,Above 3,Living Together,High School,Lower Secondary School,other,other,Course Preference,Mother,15 to 30 min,2 to 5h,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Good,High,High,Fair,4,7,6,1
Mousinho da Silveira,Male,17,Urban,Above 3,Living Together,High School,Higher Education,Services,other,Other,Mother,Up to 15 min,2 to 5h,No,Yes,No,Yes,No,Yes,Yes,Yes,Excellent,High,High,Very Good,8,8,9,1
Mousinho da Silveira,Male,16,Rural,Above 3,Living Together,Primary School,Lower Secondary School,other,other,Course Preference,Father,15 to 30 min,2 to 5h,No,No,No,No,Yes,Yes,No,No,Good,Moderate,Moderate,Very Good,0,10,11,0
